"","Country","District","Case_Type","Week","Probable","Confirmed","confirmed.foi","probable.foi","probable_cumulative","confirmed_cumulative","population_size","log_normalized_probable","normalized_confirmed","normalized_probable_cumulative","normalized_confirmed_cumulative"
"4","Guinea","BEYLA"," Probable",2014-12-30,0,0,0,0,0,0,325482,0,0,0,0
"8","Guinea","BOFFA"," Probable",2014-12-30,0,0,0,0,0,0,211063,0,0,0,0
"12","Guinea","BOKE"," Probable",2014-12-30,0,0,0,0,0,0,449405,0,0,0,0
"16","Guinea","CONAKRY"," Probable",2014-12-30,0,0,0,0,0,0,1667864,0,0,0,0
"20","Guinea","COYAH"," Probable",2014-12-30,0,0,0,0,0,0,264164,0,0,0,0
"24","Guinea","DABOLA"," Probable",2014-12-30,0,0,0,0,0,0,182951,0,0,0,0
"28","Guinea","DALABA"," Probable",2014-12-30,0,0,0,0,0,0,136320,0,0,0,0
"32","Guinea","DINGUIRAYE"," Probable",2014-12-30,0,0,0,0,0,0,195662,0,0,0,0
"36","Guinea","DUBREKA"," Probable",2014-12-30,0,0,0,0,0,0,328418,0,0,0,0
"40","Guinea","FARANAH"," Probable",2014-12-30,0,0,0,0,0,0,280511,0,0,0,0
"44","Guinea","FORECARIAH"," Probable",2014-12-30,0,0,0,0,0,0,244649,0,0,0,0
"48","Guinea","FRIA"," Probable",2014-12-30,0,0,0,0,0,0,96527,0,0,0,0
"52","Guinea","GAOUAL"," Probable",2014-12-30,0,0,0,0,0,0,194245,0,0,0,0
"56","Guinea","GUECKEDOU"," Probable",2014-12-30,2,0,0,0,2,0,291823,6.85346939754577e-06,0,6.85346939754577e-06,0
"60","Guinea","KANKAN"," Probable",2014-12-30,0,0,0,0,0,0,472112,0,0,0,0
"64","Guinea","KEROUANE"," Probable",2014-12-30,0,0,0,0,0,0,211017,0,0,0,0
"68","Guinea","KINDIA"," Probable",2014-12-30,0,0,0,0,0,0,438315,0,0,0,0
"72","Guinea","KISSIDOUGOU"," Probable",2014-12-30,0,0,0,0,0,0,283609,0,0,0,0
"76","Guinea","KOUBIA"," Probable",2014-12-30,0,0,0,0,0,0,101171,0,0,0,0
"80","Guinea","KOUNDARA"," Probable",2014-12-30,0,0,0,0,0,0,130205,0,0,0,0
"84","Guinea","KOUROUSSA"," Probable",2014-12-30,0,0,0,0,0,0,268224,0,0,0,0
"88","Guinea","LABE"," Probable",2014-12-30,0,0,0,0,0,0,318663,0,0,0,0
"92","Guinea","LELOUMA"," Probable",2014-12-30,0,0,0,0,0,0,162634,0,0,0,0
"96","Guinea","LOLA"," Probable",2014-12-30,0,0,0,0,0,0,175213,0,0,0,0
"100","Guinea","MACENTA"," Probable",2014-12-30,0,0,0,0,0,0,298282,0,0,0,0
"104","Guinea","MALI"," Probable",2014-12-30,0,0,0,0,0,0,290320,0,0,0,0
"108","Guinea","MAMOU"," Probable",2014-12-30,0,0,0,0,0,0,318738,0,0,0,0
"112","Guinea","NZEREKORE"," Probable",2014-12-30,0,0,0,0,0,0,396118,0,0,0,0
"116","Guinea","PITA"," Probable",2014-12-30,0,0,0,0,0,0,277059,0,0,0,0
"120","Guinea","SIGUIRI"," Probable",2014-12-30,0,0,0,0,0,0,695449,0,0,0,0
"124","Guinea","TELIMELE"," Probable",2014-12-30,0,0,0,0,0,0,283639,0,0,0,0
"128","Guinea","TOUGUE"," Probable",2014-12-30,0,0,0,0,0,0,122959,0,0,0,0
"132","Guinea","YOMOU"," Probable",2014-12-30,0,0,0,0,0,0,176664,0,0,0,0
"136","Liberia","BOMI"," Probable",2014-12-30,0,0,0,0,0,0,103887,0,0,0,0
"140","Liberia","BONG"," Probable",2014-12-30,0,0,0,0,0,0,411847,0,0,0,0
"144","Liberia","GBARPOLU"," Probable",2014-12-30,0,0,0,0,0,0,102984,0,0,0,0
"148","Liberia","GRANDBASSA"," Probable",2014-12-30,0,0,0,0,0,0,273790,0,0,0,0
"152","Liberia","GRANDCAPEMOUNT"," Probable",2014-12-30,0,0,0,0,0,0,156938,0,0,0,0
"156","Liberia","GRANDGEDEH"," Probable",2014-12-30,0,0,0,0,0,0,154693,0,0,0,0
"160","Liberia","GRANDKRU"," Probable",2014-12-30,0,0,0,0,0,0,71522,0,0,0,0
"164","Liberia","LOFA"," Probable",2014-12-30,0,0,0,0,0,0,341924,0,0,0,0
"168","Liberia","MARGIBI"," Probable",2014-12-30,0,0,0,0,0,0,259254,0,0,0,0
"172","Liberia","MARYLAND"," Probable",2014-12-30,0,0,0,0,0,0,167883,0,0,0,0
"176","Liberia","MONTSERRADO"," Probable",2014-12-30,0,0,0,0,0,0,1381022,0,0,0,0
"180","Liberia","NIMBA"," Probable",2014-12-30,0,0,0,0,0,0,570600,0,0,0,0
"184","Liberia","RIVERGEE"," Probable",2014-12-30,0,0,0,0,0,0,82484,0,0,0,0
"188","Liberia","RIVERCESS"," Probable",2014-12-30,0,0,0,0,0,0,88313,0,0,0,0
"192","Liberia","SINOE"," Probable",2014-12-30,0,0,0,0,0,0,126452,0,0,0,0
"196","Sierra Leone","BO"," Probable",2014-12-30,0,0,0,0,0,0,587350,0,0,0,0
"200","Sierra Leone","BOMBALI"," Probable",2014-12-30,0,0,0,0,0,0,517326,0,0,0,0
"204","Sierra Leone","BONTHE"," Probable",2014-12-30,0,0,0,0,0,0,176948,0,0,0,0
"208","Sierra Leone","KAILAHUN"," Probable",2014-12-30,0,0,0,0,0,0,453736,0,0,0,0
"212","Sierra Leone","KAMBIA"," Probable",2014-12-30,0,0,0,0,0,0,342607,0,0,0,0
"216","Sierra Leone","KENEMA"," Probable",2014-12-30,0,0,0,0,0,0,630774,0,0,0,0
"220","Sierra Leone","KOINADUGU"," Probable",2014-12-30,0,0,0,0,0,0,336648,0,0,0,0
"224","Sierra Leone","KONO"," Probable",2014-12-30,0,0,0,0,0,0,424868,0,0,0,0
"228","Sierra Leone","MOYAMBA"," Probable",2014-12-30,0,0,0,0,0,0,330507,0,0,0,0
"232","Sierra Leone","PORTLOKO"," Probable",2014-12-30,0,0,0,0,0,0,574781,0,0,0,0
"236","Sierra Leone","PUJEHUN"," Probable",2014-12-30,0,0,0,0,0,0,289315,0,0,0,0
"240","Sierra Leone","TONKOLILI"," Probable",2014-12-30,0,0,0,0,0,0,439810,0,0,0,0
"244","Sierra Leone","WESTERNAREARURAL"," Probable",2014-12-30,0,0,0,0,0,0,1199763,0,0,0,0
"248","Sierra Leone","WESTERNAREAURBAN"," Probable",2014-12-30,0,0,0,0,0,0,979034,0,0,0,0
"252","Guinea","BEYLA"," Probable",2015-01-06,0,0,0,0,0,0,325482,0,0,0,0
"256","Guinea","BOFFA"," Probable",2015-01-06,0,0,0,0.0392207131532813,0,0,211063,0,0,0,0
"260","Guinea","BOKE"," Probable",2015-01-06,0,0,0,0,0,0,449405,0,0,0,0
"264","Guinea","CONAKRY"," Probable",2015-01-06,0,0,0,0.0392207131532813,0,0,1667864,0,0,0,0
"268","Guinea","COYAH"," Probable",2015-01-06,0,0,0,0.0392207131532813,0,0,264164,0,0,0,0
"272","Guinea","DABOLA"," Probable",2015-01-06,0,0,0,0,0,0,182951,0,0,0,0
"276","Guinea","DALABA"," Probable",2015-01-06,0,0,0,0,0,0,136320,0,0,0,0
"280","Guinea","DINGUIRAYE"," Probable",2015-01-06,0,0,0,0,0,0,195662,0,0,0,0
"284","Guinea","DUBREKA"," Probable",2015-01-06,0,0,0,1.09861228866811,0,0,328418,0,0,0,0
"288","Guinea","FARANAH"," Probable",2015-01-06,0,0,0,0,0,0,280511,0,0,0,0
"292","Guinea","FORECARIAH"," Probable",2015-01-06,0,0,0,0,0,0,244649,0,0,0,0
"296","Guinea","FRIA"," Probable",2015-01-06,0,0,0,0.0392207131532813,0,0,96527,0,0,0,0
"300","Guinea","GAOUAL"," Probable",2015-01-06,0,0,0,0,0,0,194245,0,0,0,0
"304","Guinea","GUECKEDOU"," Probable",2015-01-06,0,0,0,0,2,0,291823,0,0,6.85346939754577e-06,0
"308","Guinea","KANKAN"," Probable",2015-01-06,0,0,0,0,0,0,472112,0,0,0,0
"312","Guinea","KEROUANE"," Probable",2015-01-06,0,0,0,0,0,0,211017,0,0,0,0
"316","Guinea","KINDIA"," Probable",2015-01-06,0,0,0,0.0392207131532813,0,0,438315,0,0,0,0
"320","Guinea","KISSIDOUGOU"," Probable",2015-01-06,0,0,0,0,0,0,283609,0,0,0,0
"324","Guinea","KOUBIA"," Probable",2015-01-06,0,0,0,0,0,0,101171,0,0,0,0
"328","Guinea","KOUNDARA"," Probable",2015-01-06,0,0,0,0,0,0,130205,0,0,0,0
"332","Guinea","KOUROUSSA"," Probable",2015-01-06,0,0,0,0,0,0,268224,0,0,0,0
"336","Guinea","LABE"," Probable",2015-01-06,0,0,0,0,0,0,318663,0,0,0,0
"340","Guinea","LELOUMA"," Probable",2015-01-06,0,0,0,0,0,0,162634,0,0,0,0
"344","Guinea","LOLA"," Probable",2015-01-06,0,0,0,0,0,0,175213,0,0,0,0
"348","Guinea","MACENTA"," Probable",2015-01-06,0,0,0,0,0,0,298282,0,0,0,0
"352","Guinea","MALI"," Probable",2015-01-06,0,0,0,0,0,0,290320,0,0,0,0
"356","Guinea","MAMOU"," Probable",2015-01-06,0,0,0,0,0,0,318738,0,0,0,0
"360","Guinea","NZEREKORE"," Probable",2015-01-06,0,0,0,0,0,0,396118,0,0,0,0
"364","Guinea","PITA"," Probable",2015-01-06,0,0,0,0,0,0,277059,0,0,0,0
"368","Guinea","SIGUIRI"," Probable",2015-01-06,0,0,0,0,0,0,695449,0,0,0,0
"372","Guinea","TELIMELE"," Probable",2015-01-06,0,0,0,0.0392207131532813,0,0,283639,0,0,0,0
