"","Country","DistrictName","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","ProbableCumulative","ConfirmedCumulative","PopulationSize"
"2","Guinea","BEYLA","12/30/13",0,0,0,0,"BEYLA",0,0,0,325482
"4","Guinea","BOFFA","12/30/13",0,0,0,0,"BOFFA",0,0,0,211063
"6","Guinea","BOKE","12/30/13",0,0,0,0,"BOKE",0,0,0,449405
"8","Guinea","CONAKRY","12/30/13",0,0,0,0,"CONAKRY",0,0,0,1667864
"10","Guinea","COYAH","12/30/13",0,0,0,0,"COYAH",0,0,0,264164
"12","Guinea","DABOLA","12/30/13",0,0,0,0,"DABOLA",0,0,0,182951
"14","Guinea","DALABA","12/30/13",0,0,0,0,"DALABA",0,0,0,136320
"16","Guinea","DINGUIRAYE","12/30/13",0,0,0,0,"DINGUIRAYE",0,0,0,195662
"18","Guinea","DUBREKA","12/30/13",0,0,0,0,"DUBREKA",0,0,0,328418
"20","Guinea","FARANAH","12/30/13",0,0,0,0,"FARANAH",0,0,0,280511
"22","Guinea","FORECARIAH","12/30/13",0,0,0,0,"FORECARIAH",0,0,0,244649
"24","Guinea","FRIA","12/30/13",0,0,0,0,"FRIA",0,0,0,96527
"26","Guinea","GAOUAL","12/30/13",0,0,0,0,"GAOUAL",0,0,0,194245
"28","Guinea","GUECKEDOU","12/30/13",2,0,0,0,"GUECKEDOU",0,0,0,291823
"30","Guinea","KANKAN","12/30/13",0,0,0,0,"KANKAN",0,0,0,472112
"32","Guinea","KEROUANE","12/30/13",0,0,0,0,"KEROUANE",0,0,0,211017
"34","Guinea","KINDIA","12/30/13",0,0,0,0,"KINDIA",0,0,0,438315
"36","Guinea","KISSIDOUGOU","12/30/13",0,0,0,0,"KISSIDOUGOU",0,0,0,283609
"38","Guinea","KOUBIA","12/30/13",0,0,0,0,"KOUBIA",0,0,0,101171
"40","Guinea","KOUNDARA","12/30/13",0,0,0,0,"KOUNDARA",0,0,0,130205
"42","Guinea","KOUROUSSA","12/30/13",0,0,0,0,"KOUROUSSA",0,0,0,268224
"44","Guinea","LABE","12/30/13",0,0,0,0,"LABE",0,0,0,318663
"46","Guinea","LELOUMA","12/30/13",0,0,0,0,"LELOUMA",0,0,0,162634
"48","Guinea","LOLA","12/30/13",0,0,0,0,"LOLA",0,0,0,175213
"50","Guinea","MACENTA","12/30/13",0,0,0,0,"MACENTA",0,0,0,298282
"52","Guinea","MALI","12/30/13",0,0,0,0,"MALI",0,0,0,290320
"54","Guinea","MAMOU","12/30/13",0,0,0,0,"MAMOU",0,0,0,318738
"56","Guinea","N'ZEREKORE","12/30/13",0,0,0,0,"NZEREKORE",0,0,0,396118
"58","Guinea","PITA","12/30/13",0,0,0,0,"PITA",0,0,0,277059
"60","Guinea","SIGUIRI","12/30/13",0,0,0,0,"SIGUIRI",0,0,0,695449
"62","Guinea","TELIMELE","12/30/13",0,0,0,0,"TELIMELE",0,0,0,283639
"64","Guinea","TOUGUE","12/30/13",0,0,0,0,"TOUGUE",0,0,0,122959
"66","Guinea","YOMOU","12/30/13",0,0,0,0,"YOMOU",0,0,0,176664
"68","Liberia","BOMI","12/30/13",0,0,0,0,"BOMI",0,0,0,103887
"70","Liberia","BONG","12/30/13",0,0,0,0,"BONG",0,0,0,411847
"72","Liberia","GBARPOLU","12/30/13",0,0,0,0,"GBARPOLU",0,0,0,102984
