District,Census Data,Extrapolated
BEYLA,325482,325482
BO,463668,587350
BOFFA,211063,211063
BOKE,449405,449405
BOMBALI,408390,517326
BOMI,84119,103887
BONG,333481,411847
BONTHE,139687,176948
CONAKRY,1667864,1667864
COYAH,264164,264164
DABOLA,182951,182951
DALABA,136320,136320
DINGUIRAYE,195662,195662
DUBREKA,328418,328418
FARANAH,280511,280511
FORECARIAH,244649,244649
FRIA,96527,96527
GAOUAL,194245,194245
GBARPOLU,83388,102984
GRAND BASSA,221693,273790
GRAND CAPE MOUNT,127076,156938
GRAND GEDEH,125258,154693
GRAND KRU,57913,71522
GUECKEDOU,291823,291823
KAILAHUN,358190,453736
KAMBIA,270462,342607
KANKAN,472112,472112
KENEMA,497948,630774
KEROUANE,211017,211017
KINDIA,438315,438315
KISSIDOUGOU,283609,283609
KOINADUGU,265758,336648
KONO,335401,424868
KOUBIA,101171,101171
KOUNDARA,130205,130205
KOUROUSSA,268224,268224
LABE,318663,318663
LELOUMA,162634,162634
LOFA,276863,341924
LOLA,175213,175213
MACENTA,298282,298282
MALI,290320,290320
MAMOU,318738,318738
MARGIBI,209923,259254
MARYLAND,135938,167883
MONTSERRADO,1118241,1381022
MOYAMBA,260910,330507
N'ZEREKORE,396118,396118
NIMBA,462026,570600
PITA,277059,277059
PORT LOKO,453746,574781
PUJEHUN,228392,289315
RIVER GEE,66789,82484
RIVERCESS,71509,88313
SIGUIRI,695449,695449
SINOE,102391,126452
TELIMELE,283639,283639
TONKOLILI,347197,439810
TOUGUE,122959,122959
WESTERN AREA RURAL,947122,1199763
WESTERN AREA URBAN,772873,979034
YOMOU,176664,176664
