"","Country","District_Name","Week","Probable","Confirmed","ConfirmedFOI","ProbableFOI","DistrictID","WeekID","probable_cumulative","confirmed_cumulative"
"2","Guinea","BEYLA","12/30/13",0,0,0,0,"BEYLA",1,0,0
"4","Guinea","BOFFA","12/30/13",0,0,0,0,"BOFFA",1,0,0
"6","Guinea","BOKE","12/30/13",0,0,0,0,"BOKE",1,0,0
"8","Guinea","CONAKRY","12/30/13",0,0,0,0,"CONAKRY",1,0,0
"10","Guinea","COYAH","12/30/13",0,0,0,0,"COYAH",1,0,0
"12","Guinea","DABOLA","12/30/13",0,0,0,0,"DABOLA",1,0,0
"14","Guinea","DALABA","12/30/13",0,0,0,0,"DALABA",1,0,0
"16","Guinea","DINGUIRAYE","12/30/13",0,0,0,0,"DINGUIRAYE",1,0,0
"18","Guinea","DUBREKA","12/30/13",0,0,0,0,"DUBREKA",1,0,0
"20","Guinea","FARANAH","12/30/13",0,0,0,0,"FARANAH",1,0,0
"22","Guinea","FORECARIAH","12/30/13",0,0,0,0,"FORECARIAH",1,0,0
"24","Guinea","FRIA","12/30/13",0,0,0,0,"FRIA",1,0,0
"26","Guinea","GAOUAL","12/30/13",0,0,0,0,"GAOUAL",1,0,0
"28","Guinea","GUECKEDOU","12/30/13",2,0,0,0,"GUECKEDOU",1,0,0
"30","Guinea","KANKAN","12/30/13",0,0,0,0,"KANKAN",1,0,0
"32","Guinea","KEROUANE","12/30/13",0,0,0,0,"KEROUANE",1,0,0
"34","Guinea","KINDIA","12/30/13",0,0,0,0,"KINDIA",1,0,0
"36","Guinea","KISSIDOUGOU","12/30/13",0,0,0,0,"KISSIDOUGOU",1,0,0
"38","Guinea","KOUBIA","12/30/13",0,0,0,0,"KOUBIA",1,0,0
"40","Guinea","KOUNDARA","12/30/13",0,0,0,0,"KOUNDARA",1,0,0
"42","Guinea","KOUROUSSA","12/30/13",0,0,0,0,"KOUROUSSA",1,0,0
"44","Guinea","LABE","12/30/13",0,0,0,0,"LABE",1,0,0
"46","Guinea","LELOUMA","12/30/13",0,0,0,0,"LELOUMA",1,0,0
"48","Guinea","LOLA","12/30/13",0,0,0,0,"LOLA",1,0,0
"50","Guinea","MACENTA","12/30/13",0,0,0,0,"MACENTA",1,0,0
"52","Guinea","MALI","12/30/13",0,0,0,0,"MALI",1,0,0
