,Country,District,Week,Confirmed Count,"foi_mat[, 1]"
3,Guinea,BEYLA,12/30/14,0,0
4,Guinea,BEYLA,12/30/14,0,0
7,Guinea,BOFFA,12/30/14,0,0
8,Guinea,BOFFA,12/30/14,0,0
11,Guinea,BOKE,12/30/14,0,0
12,Guinea,BOKE,12/30/14,0,0
15,Guinea,CONAKRY,12/30/14,0,0
16,Guinea,CONAKRY,12/30/14,0,0
19,Guinea,COYAH,12/30/14,0,0
20,Guinea,COYAH,12/30/14,0,0
23,Guinea,DABOLA,12/30/14,0,0
24,Guinea,DABOLA,12/30/14,0,0
27,Guinea,DALABA,12/30/14,0,0
28,Guinea,DALABA,12/30/14,0,0
31,Guinea,DINGUIRAYE,12/30/14,0,0
32,Guinea,DINGUIRAYE,12/30/14,0,0
35,Guinea,DUBREKA,12/30/14,0,0
36,Guinea,DUBREKA,12/30/14,0,0
39,Guinea,FARANAH,12/30/14,0,0
40,Guinea,FARANAH,12/30/14,0,0
43,Guinea,FORECARIAH,12/30/14,0,0
44,Guinea,FORECARIAH,12/30/14,0,0
47,Guinea,FRIA,12/30/14,0,0
48,Guinea,FRIA,12/30/14,0,0
51,Guinea,GAOUAL,12/30/14,0,0
52,Guinea,GAOUAL,12/30/14,0,0
55,Guinea,GUECKEDOU,12/30/14,0,0
56,Guinea,GUECKEDOU,12/30/14,2,0
59,Guinea,KANKAN,12/30/14,0,0
60,Guinea,KANKAN,12/30/14,0,0
63,Guinea,KEROUANE,12/30/14,0,0
64,Guinea,KEROUANE,12/30/14,0,0
67,Guinea,KINDIA,12/30/14,0,0
68,Guinea,KINDIA,12/30/14,0,0
71,Guinea,KISSIDOUGOU,12/30/14,0,0
72,Guinea,KISSIDOUGOU,12/30/14,0,0
75,Guinea,KOUBIA,12/30/14,0,0
76,Guinea,KOUBIA,12/30/14,0,0
79,Guinea,KOUNDARA,12/30/14,0,0
80,Guinea,KOUNDARA,12/30/14,0,0
83,Guinea,KOUROUSSA,12/30/14,0,0
84,Guinea,KOUROUSSA,12/30/14,0,0
87,Guinea,LABE,12/30/14,0,0
88,Guinea,LABE,12/30/14,0,0
91,Guinea,LELOUMA,12/30/14,0,0
92,Guinea,LELOUMA,12/30/14,0,0
95,Guinea,LOLA,12/30/14,0,0
96,Guinea,LOLA,12/30/14,0,0
99,Guinea,MACENTA,12/30/14,0,0
100,Guinea,MACENTA,12/30/14,0,0
103,Guinea,MALI,12/30/14,0,0
104,Guinea,MALI,12/30/14,0,0
107,Guinea,MAMOU,12/30/14,0,0
108,Guinea,MAMOU,12/30/14,0,0
111,Guinea,NZEREKORE,12/30/14,0,0
112,Guinea,NZEREKORE,12/30/14,0,0
115,Guinea,PITA,12/30/14,0,0
116,Guinea,PITA,12/30/14,0,0
119,Guinea,SIGUIRI,12/30/14,0,0
120,Guinea,SIGUIRI,12/30/14,0,0
123,Guinea,TELIMELE,12/30/14,0,0
124,Guinea,TELIMELE,12/30/14,0,0
127,Guinea,TOUGUE,12/30/14,0,0
128,Guinea,TOUGUE,12/30/14,0,0
131,Guinea,YOMOU,12/30/14,0,0
132,Guinea,YOMOU,12/30/14,0,0
135,Liberia,BOMI,12/30/14,0,0
136,Liberia,BOMI,12/30/14,0,0
139,Liberia,BONG,12/30/14,0,0
140,Liberia,BONG,12/30/14,0,0
143,Liberia,GBARPOLU,12/30/14,0,0
144,Liberia,GBARPOLU,12/30/14,0,0
147,Liberia,GRAND BASSA,12/30/14,0,0
148,Liberia,GRAND BASSA,12/30/14,0,0
151,Liberia,GRAND CAPE MOUNT,12/30/14,0,0
152,Liberia,GRAND CAPE MOUNT,12/30/14,0,0
155,Liberia,GRAND GEDEH,12/30/14,0,0
156,Liberia,GRAND GEDEH,12/30/14,0,0
159,Liberia,GRAND KRU,12/30/14,0,0
160,Liberia,GRAND KRU,12/30/14,0,0
163,Liberia,LOFA,12/30/14,0,0
164,Liberia,LOFA,12/30/14,0,0
167,Liberia,MARGIBI,12/30/14,0,0
168,Liberia,MARGIBI,12/30/14,0,0
171,Liberia,MARYLAND,12/30/14,0,0
172,Liberia,MARYLAND,12/30/14,0,0
175,Liberia,MONTSERRADO,12/30/14,0,0
176,Liberia,MONTSERRADO,12/30/14,0,0
179,Liberia,NIMBA,12/30/14,0,0
180,Liberia,NIMBA,12/30/14,0,0
183,Liberia,RIVER GEE,12/30/14,0,0
184,Liberia,RIVER GEE,12/30/14,0,0
187,Liberia,RIVERCESS,12/30/14,0,0
188,Liberia,RIVERCESS,12/30/14,0,0
191,Liberia,SINOE,12/30/14,0,0
192,Liberia,SINOE,12/30/14,0,0
195,Sierra Leone,BO,12/30/14,0,0
196,Sierra Leone,BO,12/30/14,0,0
199,Sierra Leone,BOMBALI,12/30/14,0,0
200,Sierra Leone,BOMBALI,12/30/14,0,0
203,Sierra Leone,BONTHE,12/30/14,0,0
204,Sierra Leone,BONTHE,12/30/14,0,0
207,Sierra Leone,KAILAHUN,12/30/14,0,0
208,Sierra Leone,KAILAHUN,12/30/14,0,0
211,Sierra Leone,KAMBIA,12/30/14,0,0
212,Sierra Leone,KAMBIA,12/30/14,0,0
215,Sierra Leone,KENEMA,12/30/14,0,0
216,Sierra Leone,KENEMA,12/30/14,0,0
219,Sierra Leone,KOINADUGU,12/30/14,0,0
220,Sierra Leone,KOINADUGU,12/30/14,0,0
223,Sierra Leone,KONO,12/30/14,0,0
224,Sierra Leone,KONO,12/30/14,0,0
227,Sierra Leone,MOYAMBA,12/30/14,0,0
228,Sierra Leone,MOYAMBA,12/30/14,0,0
231,Sierra Leone,PORT LOKO,12/30/14,0,0
232,Sierra Leone,PORT LOKO,12/30/14,0,0
235,Sierra Leone,PUJEHUN,12/30/14,0,0
236,Sierra Leone,PUJEHUN,12/30/14,0,0
239,Sierra Leone,TONKOLILI,12/30/14,0,0
240,Sierra Leone,TONKOLILI,12/30/14,0,0
243,Sierra Leone,WESTERN AREA RURAL,12/30/14,0,0
244,Sierra Leone,WESTERN AREA RURAL,12/30/14,0,0
247,Sierra Leone,WESTERN AREA URBAN,12/30/14,0,0
248,Sierra Leone,WESTERN AREA URBAN,12/30/14,0,0
251,Guinea,BEYLA,1/6/15,0,0
252,Guinea,BEYLA,1/6/15,0,0
255,Guinea,BOFFA,1/6/15,0,0
256,Guinea,BOFFA,1/6/15,0,0
259,Guinea,BOKE,1/6/15,0,0
260,Guinea,BOKE,1/6/15,0,0
263,Guinea,CONAKRY,1/6/15,0,0
264,Guinea,CONAKRY,1/6/15,0,0
267,Guinea,COYAH,1/6/15,0,0
268,Guinea,COYAH,1/6/15,0,0
271,Guinea,DABOLA,1/6/15,0,0
272,Guinea,DABOLA,1/6/15,0,0
275,Guinea,DALABA,1/6/15,0,0
276,Guinea,DALABA,1/6/15,0,0
279,Guinea,DINGUIRAYE,1/6/15,0,0
280,Guinea,DINGUIRAYE,1/6/15,0,0
283,Guinea,DUBREKA,1/6/15,0,0
284,Guinea,DUBREKA,1/6/15,0,0.2
287,Guinea,FARANAH,1/6/15,0,0
288,Guinea,FARANAH,1/6/15,0,0
291,Guinea,FORECARIAH,1/6/15,0,0
292,Guinea,FORECARIAH,1/6/15,0,0
295,Guinea,FRIA,1/6/15,0,0
296,Guinea,FRIA,1/6/15,0,0
299,Guinea,GAOUAL,1/6/15,0,0
300,Guinea,GAOUAL,1/6/15,0,0
303,Guinea,GUECKEDOU,1/6/15,0,0
304,Guinea,GUECKEDOU,1/6/15,0,0
307,Guinea,KANKAN,1/6/15,0,0
308,Guinea,KANKAN,1/6/15,0,0
311,Guinea,KEROUANE,1/6/15,0,0
312,Guinea,KEROUANE,1/6/15,0,0
315,Guinea,KINDIA,1/6/15,0,0
316,Guinea,KINDIA,1/6/15,0,0
319,Guinea,KISSIDOUGOU,1/6/15,0,0
320,Guinea,KISSIDOUGOU,1/6/15,0,0
323,Guinea,KOUBIA,1/6/15,0,0
324,Guinea,KOUBIA,1/6/15,0,0
327,Guinea,KOUNDARA,1/6/15,0,0
328,Guinea,KOUNDARA,1/6/15,0,0
331,Guinea,KOUROUSSA,1/6/15,0,0
332,Guinea,KOUROUSSA,1/6/15,0,0
335,Guinea,LABE,1/6/15,0,0
336,Guinea,LABE,1/6/15,0,0
339,Guinea,LELOUMA,1/6/15,0,0
340,Guinea,LELOUMA,1/6/15,0,0
343,Guinea,LOLA,1/6/15,0,0
344,Guinea,LOLA,1/6/15,0,0
347,Guinea,MACENTA,1/6/15,0,0
348,Guinea,MACENTA,1/6/15,0,0
351,Guinea,MALI,1/6/15,0,0
352,Guinea,MALI,1/6/15,0,0
355,Guinea,MAMOU,1/6/15,0,0
356,Guinea,MAMOU,1/6/15,0,0
359,Guinea,NZEREKORE,1/6/15,0,0
360,Guinea,NZEREKORE,1/6/15,0,0
363,Guinea,PITA,1/6/15,0,0
364,Guinea,PITA,1/6/15,0,0
367,Guinea,SIGUIRI,1/6/15,0,0
368,Guinea,SIGUIRI,1/6/15,0,0
371,Guinea,TELIMELE,1/6/15,0,0
372,Guinea,TELIMELE,1/6/15,0,0
375,Guinea,TOUGUE,1/6/15,0,0
376,Guinea,TOUGUE,1/6/15,0,0
379,Guinea,YOMOU,1/6/15,0,0
380,Guinea,YOMOU,1/6/15,0,0
383,Liberia,BOMI,1/6/15,0,0
384,Liberia,BOMI,1/6/15,0,0
387,Liberia,BONG,1/6/15,0,0
388,Liberia,BONG,1/6/15,0,0
391,Liberia,GBARPOLU,1/6/15,0,0
392,Liberia,GBARPOLU,1/6/15,0,0
395,Liberia,GRAND BASSA,1/6/15,0,0
396,Liberia,GRAND BASSA,1/6/15,0,0
399,Liberia,GRAND CAPE MOUNT,1/6/15,0,0
400,Liberia,GRAND CAPE MOUNT,1/6/15,0,0
403,Liberia,GRAND GEDEH,1/6/15,0,0
404,Liberia,GRAND GEDEH,1/6/15,0,0
407,Liberia,GRAND KRU,1/6/15,0,0
408,Liberia,GRAND KRU,1/6/15,0,0
411,Liberia,LOFA,1/6/15,0,0
412,Liberia,LOFA,1/6/15,0,0
415,Liberia,MARGIBI,1/6/15,0,0
416,Liberia,MARGIBI,1/6/15,0,0
419,Liberia,MARYLAND,1/6/15,0,0
420,Liberia,MARYLAND,1/6/15,0,0
423,Liberia,MONTSERRADO,1/6/15,0,0
424,Liberia,MONTSERRADO,1/6/15,0,0
427,Liberia,NIMBA,1/6/15,0,0
428,Liberia,NIMBA,1/6/15,0,0
431,Liberia,RIVER GEE,1/6/15,0,0
432,Liberia,RIVER GEE,1/6/15,0,0
435,Liberia,RIVERCESS,1/6/15,0,0
436,Liberia,RIVERCESS,1/6/15,0,0
439,Liberia,SINOE,1/6/15,0,0
440,Liberia,SINOE,1/6/15,0,0
443,Sierra Leone,BO,1/6/15,0,0
444,Sierra Leone,BO,1/6/15,0,0
447,Sierra Leone,BOMBALI,1/6/15,0,0
448,Sierra Leone,BOMBALI,1/6/15,0,0
451,Sierra Leone,BONTHE,1/6/15,0,0
452,Sierra Leone,BONTHE,1/6/15,0,0
455,Sierra Leone,KAILAHUN,1/6/15,0,0
456,Sierra Leone,KAILAHUN,1/6/15,0,0
459,Sierra Leone,KAMBIA,1/6/15,0,0
460,Sierra Leone,KAMBIA,1/6/15,0,0
463,Sierra Leone,KENEMA,1/6/15,0,0
464,Sierra Leone,KENEMA,1/6/15,0,0
467,Sierra Leone,KOINADUGU,1/6/15,0,0
468,Sierra Leone,KOINADUGU,1/6/15,0,0
471,Sierra Leone,KONO,1/6/15,0,0
472,Sierra Leone,KONO,1/6/15,0,0
475,Sierra Leone,MOYAMBA,1/6/15,0,0
476,Sierra Leone,MOYAMBA,1/6/15,0,0
479,Sierra Leone,PORT LOKO,1/6/15,0,0
480,Sierra Leone,PORT LOKO,1/6/15,0,0
483,Sierra Leone,PUJEHUN,1/6/15,0,0
484,Sierra Leone,PUJEHUN,1/6/15,0,0
487,Sierra Leone,TONKOLILI,1/6/15,0,0
488,Sierra Leone,TONKOLILI,1/6/15,0,0
491,Sierra Leone,WESTERN AREA RURAL,1/6/15,0,0
492,Sierra Leone,WESTERN AREA RURAL,1/6/15,0,0
495,Sierra Leone,WESTERN AREA URBAN,1/6/15,0,0
496,Sierra Leone,WESTERN AREA URBAN,1/6/15,0,0
499,Guinea,BEYLA,1/13/15,0,0
500,Guinea,BEYLA,1/13/15,0,0
503,Guinea,BOFFA,1/13/15,0,0
504,Guinea,BOFFA,1/13/15,0,0
507,Guinea,BOKE,1/13/15,0,0
508,Guinea,BOKE,1/13/15,0,0
511,Guinea,CONAKRY,1/13/15,0,0
512,Guinea,CONAKRY,1/13/15,0,0
515,Guinea,COYAH,1/13/15,0,0
516,Guinea,COYAH,1/13/15,0,0
