Country,District,Week,ConfirmedCount,FOI__1,WeekID,DistrictID
Liberia,MONTSERRADO,9/1/15,225,0.198796543,35,MONTSERRADO
Guinea,BEYLA,9/22/15,1,0.199987711,38,BEYLA
Sierra Leone,WESTERN AREA URBAN,11/24/15,207,22.89810242,47,WESTERNAREAURBAN
Liberia,MONTSERRADO,9/8/15,199,0.099254176,36,MONTSERRADO
Liberia,MONTSERRADO,9/15/15,179,0.198249123,37,MONTSERRADO
Sierra Leone,WESTERN AREA URBAN,12/22/15,174,10.00819665,51,WESTERNAREAURBAN
Liberia,MONTSERRADO,8/25/15,166,0.199122389,34,MONTSERRADO
Liberia,MONTSERRADO,8/18/15,159,0.099681395,33,MONTSERRADO
Sierra Leone,WESTERN AREA URBAN,12/15/15,146,11.79567615,50,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA URBAN,10/27/15,145,31.76172431,43,WESTERNAREAURBAN
Liberia,MONTSERRADO,10/6/15,133,0.296396147,40,MONTSERRADO
Sierra Leone,WESTERN AREA URBAN,12/1/15,129,22.6703996,48,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA URBAN,11/10/15,123,21.88555392,45,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA URBAN,12/8/15,118,19.49239271,49,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA URBAN,11/17/15,117,18.49619809,46,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA URBAN,10/20/15,114,26.83894328,42,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA RURAL,10/13/15,112,12.25499361,41,WESTERNAREARURAL
Sierra Leone,WESTERN AREA URBAN,12/29/15,112,12.34865224,52,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA RURAL,11/24/15,106,9.028702585,47,WESTERNAREARURAL
Guinea,BOFFA,9/22/15,0,0,38,BOFFA
Sierra Leone,WESTERN AREA RURAL,10/20/15,105,9.755564557,42,WESTERNAREARURAL
Liberia,MONTSERRADO,9/29/15,104,0.395580085,39,MONTSERRADO
Sierra Leone,WESTERN AREA RURAL,10/27/15,103,10.64229777,43,WESTERNAREARURAL
Sierra Leone,WESTERN AREA URBAN,1/5/16,102,14.19564387,53,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA URBAN,11/3/15,98,26.67277296,44,WESTERNAREAURBAN
Liberia,MONTSERRADO,8/11/15,92,0,32,MONTSERRADO
Sierra Leone,PORT LOKO,11/10/15,89,0,45,PORTLOKO
Sierra Leone,WESTERN AREA URBAN,10/6/15,88,16.73427807,40,WESTERNAREAURBAN
Sierra Leone,PORT LOKO,11/24/15,88,0,47,PORTLOKO
Sierra Leone,WESTERN AREA URBAN,10/13/15,87,22.59102524,41,WESTERNAREAURBAN
Sierra Leone,BOMBALI,9/15/15,82,0.896398789,37,BOMBALI
Sierra Leone,BOMBALI,9/29/15,81,0.595743496,39,BOMBALI
Sierra Leone,PORT LOKO,10/6/15,81,0,40,PORTLOKO
Liberia,MONTSERRADO,10/13/15,80,0.197481575,41,MONTSERRADO
Guinea,BOKE,9/22/15,0,5.9,38,BOKE
Sierra Leone,PORT LOKO,11/17/15,78,0,46,PORTLOKO
Sierra Leone,PORT LOKO,12/8/15,78,0,49,PORTLOKO
Sierra Leone,KAILAHUN,7/7/15,77,0,27,KAILAHUN
Sierra Leone,KAILAHUN,7/28/15,76,0.396112277,30,KAILAHUN
Sierra Leone,PORT LOKO,12/15/15,76,0,50,PORTLOKO
Sierra Leone,PORT LOKO,11/3/15,75,0,44,PORTLOKO
Sierra Leone,BOMBALI,10/20/15,73,3.660019407,42,BOMBALI
Liberia,MONTSERRADO,8/4/15,72,0,31,MONTSERRADO
Guinea,MACENTA,9/1/15,69,9.830964658,35,MACENTA
Sierra Leone,PORT LOKO,9/15/15,69,0,37,PORTLOKO
Sierra Leone,WESTERN AREA RURAL,11/17/15,69,11.81727866,46,WESTERNAREARURAL
Sierra Leone,BOMBALI,11/24/15,68,3.245204765,47,BOMBALI
Sierra Leone,KONO,12/22/15,68,0,51,KONO
Sierra Leone,BOMBALI,10/27/15,67,1.284269107,43,BOMBALI
Sierra Leone,MOYAMBA,9/15/15,65,0.099679281,37,MOYAMBA
Guinea,CONAKRY,9/22/15,33,0,38,CONAKRY
Sierra Leone,BOMBALI,10/13/15,64,3.368058826,41,BOMBALI
Sierra Leone,PORT LOKO,10/27/15,63,0,43,PORTLOKO
Sierra Leone,BOMBALI,11/17/15,63,2.363303604,46,BOMBALI
Sierra Leone,WESTERN AREA RURAL,9/29/15,62,10.27647702,39,WESTERNAREARURAL
Sierra Leone,PORT LOKO,10/13/15,62,0,41,PORTLOKO
Liberia,MONTSERRADO,10/27/15,62,0,43,MONTSERRADO
Sierra Leone,TONKOLILI,9/29/15,61,21.5395921,39,TONKOLILI
Sierra Leone,BOMBALI,11/3/15,61,1.381408242,44,BOMBALI
Sierra Leone,TONKOLILI,11/3/15,61,19.65998954,44,TONKOLILI
Sierra Leone,WESTERN AREA RURAL,11/3/15,61,12.52564531,44,WESTERNAREARURAL
Sierra Leone,WESTERN AREA RURAL,12/29/15,61,4.357531612,52,WESTERNAREARURAL
Sierra Leone,KAILAHUN,6/9/15,60,0.69834926,23,KAILAHUN
Sierra Leone,WESTERN AREA URBAN,9/15/15,60,10.47930103,37,WESTERNAREAURBAN
Sierra Leone,PORT LOKO,10/20/15,60,0,42,PORTLOKO
Sierra Leone,WESTERN AREA RURAL,9/15/15,58,2.796289267,37,WESTERNAREARURAL
Sierra Leone,WESTERN AREA URBAN,9/29/15,58,17.24787209,39,WESTERNAREAURBAN
Sierra Leone,WESTERN AREA RURAL,11/10/15,57,12.02284726,45,WESTERNAREARURAL
Guinea,MACENTA,9/15/15,55,5.444314441,37,MACENTA
Sierra Leone,BOMBALI,10/6/15,55,2.876343737,40,BOMBALI
Sierra Leone,WESTERN AREA RURAL,12/1/15,55,6.743605529,48,WESTERNAREARURAL
Sierra Leone,PORT LOKO,12/29/15,55,0,52,PORTLOKO
Sierra Leone,WESTERN AREA URBAN,2/9/16,55,2.931544768,58,WESTERNAREAURBAN
Sierra Leone,PORT LOKO,12/1/15,54,0,48,PORTLOKO
Sierra Leone,PORT LOKO,12/22/15,54,0,51,PORTLOKO
Sierra Leone,PORT LOKO,9/8/15,53,0,36,PORTLOKO
Guinea,COYAH,9/22/15,2,0,38,COYAH
Guinea,MACENTA,9/29/15,53,2.070501069,39,MACENTA
Sierra Leone,WESTERN AREA RURAL,10/6/15,53,10.77056419,40,WESTERNAREARURAL
Sierra Leone,KENEMA,8/11/15,51,0.995132964,32,KENEMA
Sierra Leone,KAILAHUN,6/30/15,49,0,26,KAILAHUN
Liberia,LOFA,8/18/15,48,0,33,LOFA
Sierra Leone,WESTERN AREA RURAL,1/5/16,47,3.662838494,53,WESTERNAREARURAL
Sierra Leone,KENEMA,7/21/15,46,0,29,KENEMA
Guinea,MACENTA,8/18/15,46,11.96097653,33,MACENTA
Sierra Leone,KENEMA,8/18/15,46,0.596642221,33,KENEMA
Sierra Leone,KONO,12/8/15,46,0,49,KONO
Sierra Leone,KENEMA,8/4/15,45,0.497970747,31,KENEMA
Sierra Leone,BOMBALI,9/8/15,45,0.69830861,36,BOMBALI
Guinea,MACENTA,10/6/15,45,1.082888676,40,MACENTA
Guinea,DABOLA,9/22/15,0,0.399956272,38,DABOLA
Sierra Leone,MOYAMBA,11/3/15,44,0.89449936,44,MOYAMBA
Sierra Leone,KONO,12/29/15,44,0,52,KONO
Sierra Leone,KAILAHUN,8/4/15,43,0.692533103,31,KAILAHUN
Sierra Leone,KENEMA,7/28/15,42,0.398661961,30,KENEMA
Guinea,MACENTA,8/25/15,42,11.24734178,34,MACENTA
Sierra Leone,PORT LOKO,9/29/15,42,0,39,PORTLOKO
Sierra Leone,TONKOLILI,10/13/15,42,18.42218231,41,TONKOLILI
Guinea,MACENTA,10/27/15,41,0.294317458,43,MACENTA
Sierra Leone,BOMBALI,11/10/15,41,1.38029869,45,BOMBALI
Sierra Leone,BOMBALI,12/1/15,41,4.225192239,48,BOMBALI
Liberia,MONTSERRADO,10/20/15,40,0.098711824,42,MONTSERRADO
Sierra Leone,WESTERN AREA URBAN,1/19/16,40,7.434342832,55,WESTERNAREAURBAN
Guinea,MACENTA,9/8/15,39,6.644518945,36,MACENTA
Liberia,MARGIBI,9/29/15,39,49.10831231,39,MARGIBI
Sierra Leone,WESTERN AREA URBAN,1/12/16,39,11.8412,54,WESTERNAREAURBAN
Liberia,LOFA,8/11/15,37,0,32,LOFA
Liberia,MARGIBI,9/15/15,37,59.86272999,37,MARGIBI
Liberia,MONTSERRADO,11/3/15,37,0,44,MONTSERRADO
Sierra Leone,WESTERN AREA RURAL,12/8/15,37,5.650970317,49,WESTERNAREARURAL
Sierra Leone,WESTERN AREA RURAL,12/22/15,37,5.548796554,51,WESTERNAREARURAL
Guinea,FORECARIAH,3/8/16,37,0,62,FORECARIAH
Sierra Leone,KAILAHUN,6/16/15,36,0.099684839,24,KAILAHUN
Sierra Leone,KAILAHUN,7/14/15,36,0,28,KAILAHUN
Sierra Leone,TONKOLILI,10/20/15,36,20.19799459,42,TONKOLILI
Liberia,LOFA,8/4/15,35,0,31,LOFA
Sierra Leone,BO,8/25/15,35,0,34,BO
Sierra Leone,WESTERN AREA URBAN,9/8/15,35,6.09171326,36,WESTERNAREAURBAN
Sierra Leone,KOINADUGU,11/3/15,35,0,44,KOINADUGU
Sierra Leone,PORT LOKO,1/5/16,35,0,53,PORTLOKO
Guinea,MACENTA,10/13/15,34,1.081634829,41,MACENTA
Sierra Leone,WESTERN AREA URBAN,2/23/16,34,2.34391206,60,WESTERNAREAURBAN
Guinea,DALABA,9/22/15,4,0,38,DALABA
Sierra Leone,TONKOLILI,11/24/15,33,25.26692208,47,TONKOLILI
Sierra Leone,PORT LOKO,1/12/16,33,0,54,PORTLOKO
Sierra Leone,KENEMA,6/30/15,32,0,26,KENEMA
Sierra Leone,PORT LOKO,8/18/15,32,0,33,PORTLOKO
Sierra Leone,BOMBALI,9/1/15,32,0.499226793,35,BOMBALI
Sierra Leone,PORT LOKO,9/1/15,32,0,35,PORTLOKO
Sierra Leone,PORT LOKO,2/2/16,32,0,57,PORTLOKO
Sierra Leone,KENEMA,7/14/15,31,0,28,KENEMA
Sierra Leone,WESTERN AREA URBAN,9/1/15,31,5.794194277,35,WESTERNAREAURBAN
Sierra Leone,KOINADUGU,10/27/15,31,0,43,KOINADUGU
Sierra Leone,TONKOLILI,11/10/15,31,22.52348287,45,TONKOLILI
Guinea,MACENTA,12/1/15,31,0,48,MACENTA
