type,country,geometry/type,lat,long,district_original,District,DistrictID
Feature,Spain,Point,-3.74922,40.463667,,,
Feature,United States,Point,-95.712891,37.09024,,,
Feature,Democratic Republic of the Congo,Point,20.562519,-0.631684,Lokolia,LOKOLIA,LOKOLIA
Feature,Democratic Republic of the Congo,Point,20.5632588,-0.8435,Watsikengo,WATSIKENGO,WATSIKENGO
Feature,Democratic Republic of the Congo,Point,19.2,-0.733333,HGR Boende,HGR BOENDE,HGRBOENDE
Feature,Democratic Republic of the Congo,Point,20.750031,-0.3814139,Boende moke,BOENDE MOKE,BOENDEMOKE
Feature,Democratic Republic of the Congo,Point,20.653891,-0.420979,Lokula,LOKULA,LOKULA
Feature,Democratic Republic of the Congo,Point,22.7539449,-0.7758399,Mondombe,MONDOMBE,MONDOMBE
Feature,United States,Point,-96.8004511,32.7801399,"Dallas, TX","DALLAS, TX","DALLAS,TX"
Feature,Guinea,Point,-10.1247811,8.5652126,Gueckedou,GUECKEDOU,GUECKEDOU
Feature,Guinea,Point,-10.711305,11.2912107,Dinguiraye,DINGUIRAYE,DINGUIRAYE
Feature,Guinea,Point,-8.816667,7.75,Nzerekore,NZEREKORE,NZEREKORE
Feature,Guinea,Point,-9.383333,10.166667,Dalaba,DALABA,DALABA
Feature,Guinea,Point,-8.633333,8.683333,Beyla,BEYLA,BEYLA
Feature,Guinea,Point,-12.85,10.066667,Kindia,KINDIA,KINDIA
Feature,Guinea,Point,-8.533333,7.8,Lola,LOLA,LOLA
Feature,Guinea,Point,-13.383333,9.7,Coyah,COYAH,COYAH
Feature,Guinea,Point,-9.016667,9.266667,Kerouane,KEROUANE,KEROUANE
Feature,Guinea,Point,-13.083333,9.433333,Forecariah,FORECARIAH,FORECARIAH
Feature,Guinea,Point,-13.516667,9.783333,Dubreka,DUBREKA,DUBREKA
Feature,Guinea,Point,-9.2533,7.566,Yomou,YOMOU,YOMOU
Feature,Guinea,Point,-12.395582,11.059568,Pita,PITA,PITA
Feature,Guinea,Point,-9.166667,11.416667,Siguiri,SIGUIRI,SIGUIRI
Feature,Guinea,Point,-9.883333,10.65,Kouroussa,KOUROUSSA,KOUROUSSA
Feature,Guinea,Point,-14.0391615,10.1808254,Boffa,BOFFA,BOFFA
Feature,Guinea,Point,-13.033333,10.9,Telimele,TELIMELE,TELIMELE
Feature,Guinea,Point,-10.716667,11.3,Cinguiraye,CINGUIRAYE,CINGUIRAYE
Feature,Guinea,Point,-10.1,9.183333,Kissidougou,KISSIDOUGOU,KISSIDOUGOU
Feature,Guinea,Point,-11.116667,10.75,Dabola,DABOLA,DABOLA
Feature,Guinea,Point,-9.466667,8.55,Macenta,MACENTA,MACENTA
Feature,Guinea,Point,-13.712222,9.509167,Conakry,CONAKRY,CONAKRY
Feature,Guinea,Point,-9.696645,9.945587,,,
Feature,Liberia,Point,-9.429499,6.428055,,,
Feature,Sierra Leone,Point,-11.779889,8.460555,,,
Feature,Nigeria,Point,8.675277,9.081999,,,
Feature,Nigeria,Point,8.675277,9.081999,,,
Feature,Senegal,Point,-14.452362,14.497401,,,
Feature,Liberia,Point,-10.8451467,6.7562926,Bomi County,BOMI,BOMI
Feature,Liberia,Point,-9.3673084,6.8295019,Bong County,BONG,BONG
Feature,Liberia,Point,-10.0807298,7.4952637,Gbarpolu County,GBARPOLU,GBARPOLU
Feature,Liberia,Point,-9.8124935,6.2308452,Grand Bassa,GRAND BASSA,GRANDBASSA
Feature,Liberia,Point,-11.0711758,7.0467758,Grand Cape Mount,GRAND CAPE MOUNT,GRANDCAPEMOUNT
Feature,Liberia,Point,-8.2212979,5.9222078,Grand Gedeh,GRAND GEDEH,GRANDGEDEH
Feature,Liberia,Point,-8.2212979,4.7613862,Grand Kru County,GRAND KRU,GRANDKRU
Feature,Liberia,Point,-9.7232673,8.1911184,Lofa County,LOFA,LOFA
Feature,Liberia,Point,-10.3048897,6.5151875,Margibi County,MARGIBI,MARGIBI
Feature,Liberia,Point,-7.7416703,4.7258878,Maryland County,MARYLAND,MARYLAND
Feature,Liberia,Point,-10.3048897,6.5151875,Margibi County,MARGIBI,MARGIBI
Feature,Liberia,Point,-10.5296115,6.5525815,Montserrado County,MONTSERRADO,MONTSERRADO
Feature,Liberia,Point,-8.6600586,6.8427612,Nimba County,NIMBA,NIMBA
Feature,Liberia,Point,-7.87216,5.2604894,River Gee County,RIVER GEE,RIVERGEE
Feature,Liberia,Point,-8.6600586,5.49871,Sinoe County,SINOE,SINOE
Feature,Liberia,Point,-9.456155,5.9025328,RiverCess County,RIVERCESS,RIVERCESS
Feature,Sierra Leone,Point,-10.573889,8.277222,Kailahun,KAILAHUN,KAILAHUN
Feature,Sierra Leone,Point,-11.1957172,7.8632147,Kenema,KENEMA,KENEMA
Feature,Sierra Leone,Point,-10.8903099,8.7663285,Kono,KONO,KONO
Feature,Sierra Leone,Point,-12.9176518,9.1261664,Kambia,KAMBIA,KAMBIA
Feature,Sierra Leone,Point,-11.36363,9.5168769,Koinadugu,KOINADUGU,KOINADUGU
Feature,Sierra Leone,Point,-12.1632718,9.2475837,Bombali,BOMBALI,BOMBALI
Feature,Sierra Leone,Point,-11.7947561,8.9804274,Tonkolili,TONKOLILI,TONKOLILI
Feature,Sierra Leone,Point,-12.7875,8.766667,Port Loko,PORT LOKO,PORTLOKO
Feature,Sierra Leone,Point,-11.718056,7.350556,Pujehun,PUJEHUN,PUJEHUN
Feature,Sierra Leone,Point,-11.7409946,7.9551791,Bo,BO,BO
Feature,Sierra Leone,Point,-11.36363,9.5168769,Koinadugu,KOINADUGU,KOINADUGU
Feature,Sierra Leone,Point,-12.433333,8.160556,Moyamba,MOYAMBA,MOYAMBA
Feature,Sierra Leone,Point,-12.505,7.526389,Bonthe,BONTHE,BONTHE
Feature,Sierra Leone,Point,-13.2432632,8.4545561,Western area urban district,WESTERN AREA URBAN DISTRICT,WESTERNAREAURBANDISTRICT
Feature,Sierra Leone,Point,-13.035694,8.3114983,Western area rural district,WESTERN AREA RURAL DISTRICT,WESTERNAREARURALDISTRICT
